,0,1
534,ward no. 1,89
535,ward no. 21,89
536,ward no. 11,89
537,ward no. 14,89
538,ward no. 16,89
539,ward no. 25,89
540,kajli,85
541,Bothiya_2,81
542,Jhirikhapa,84
543,Khapa,84
544,Khapa,81
545,Bhutaikhedi,84
546,Kundai,84
547,Pathakheda,84
548,Pisata,84
549,Raiseda,84
550,Somlapur,84
551,Ubhariya,84
552,Humabehra,84
553,Umanpath,84
554,Junapani s,84
555,Gaula,74
556,ward no. 5,89
557,ward no. 7,89
558,Malpon,74
559,Khedinima,74
560,ward no. 31,89
561,silari,68
562,ward no. 34,89
563,ward no. 33,89
564,Surjana,74
565,umariya,68
566,Manoharpura,74
567,ward no. 6,89
568,rampur,68
569,ward no 09,78
570,ward no 10,78
571,ward no 12,78
572,ward no 07,70
573,ward no 09,70
574,ward no 08,70
575,ward no 10,70
576,ward no 11,70
577,Bagrul,74
578,Kusia,74
579,CHIKLI,67
580,Sukrikhurd,67
581,Semri AW 07,67
582,Semri AW 08,67
583,Semri AW 09,67
584,Jamuniya AW 02,67
585,Saini,67
586,Hathnawad,67
587,Ajnai,74
588,shahpur,86
589,Goyat,74
590,Jugariya,74
591,ward no 18,78
592,lalawadi,78
593,tirmahu,78
594,rambhakhedi,78
595,parsoda,78
596,paretiya,70
597,ward no 15,70
598,keslakhurd,65
599,khapariya,70
600,ward no. 24,89
601,ward no 01,70
602,ward no 06,70
603,dolariya,65
604,amupura,65
605,mohari,65
606,nanpa,65
607,kharkhedi,65
608,kharar,65
609,mofada,65
610,sail,65
611,umariya,78
612,chatarkheda,70
613,torniya,70
614,bhangiya,70
615,bhavnda,70
616,Talnagari,65
617,WARD NO.01,77
618,WARD NO.12,77
619,WARD NO.13,77
620,WARD NO.14,77
621,WARD NO.15,77
622,WARD NO.16,77
623,WARD NO.17,77
624,WARD NO.18,77
625,WARD NO.19,77
626,WARD NO.20,77
627,WARD NO.21,77
628,WARD NO.22,77
629,WARD NO.23,77
630,WARD NO.24,77
631,WARD NO.25,77
632,WARD NO.26,77
633,WARD NO.27,77
634,WARD NO.28,77
635,WARD NO.29,77
636,WARD NO.30,77
637,WARD NO.34,77
638,WARD NO.35,77
639,chauki,80
640,Shobhapur AW 02,67
641,Shobhapur AW 04,67
642,Shobhapur AW 07,67
643,Aatashri,67
644,Sounthar,67
645,Madanpur,67
646,Ranmoutha,67
647,Khiriyamandir,67
648,Palakhedi,67
649,gorakhpur,61
650,Isharpur,69
651,Kherikishore,69
652,Mahangawa,69
653,Rajthari,69
654,Sirawada,69
655,ward no. 28,89
656,RANJHI,71
657,BHOVDA,71
658,SARADEH,71
659,PIPARIYA KHURD,71
660,CHANDKIYA,71
661,KOHDA ,71
662,BORKHEDA,71
663,ward no. 8,89
664,ward no. 9,89
665,ward no. 29,89
666,nipaniya,70
667,Phathapur,69
668,Kodapadrai,69
669,Najarkheda,69
670,Panjara,69
671,Hanotiya,69
672,Junawani,80
673,Junawani,80
674,WARD NO.09,77
675,WARD NO.10,77
676,ward no. 18,89
677,chauki,74
678,Dumlai,74
679,WARD NO.02,77
680,WARD NO.03,77
681,WARD NO.04,77
682,WARD NO.05,77
683,WARD NO.06,77
684,WARD NO.07,77
685,WARD NO.08,77
686,WARD NO.11,77
687,WARD NO.31,77
688,WARD NO.32,77
689,kamtha,70
690,samardha,70
691,guranjghat,70
692,banderkho,70
693,santai,70
694,paraswada,70
695,moriya,70
696,lahi,70
697,gidkheda,70
698,amarkatara,70
699,liladiya,70
700,kundkala,70
701,kolgaon,70
702,naharkola khurd,70
703,chandpura,70
704,kajli,70
705,gotavarri,70
706,hamidpur,70
707,batki iklani,70
708,palasi,70
709,mudiya khedi,70
710,jamuniyaharji,70
711,rashi,70
712,nirkhi,70
713,kothra,70
714,Pidgaon,74
715,bandi,70
716,ranipur,70
717,gangiya,70
718,ward no. 32,89
719,gondikharar,70
720,jondal,70
721,chandakhad,70
722,nayagaon,70
723,tilianwali,70
724,bent,70
725,chapadeodi,70
726,ward no. 12,89
