,0,1
437,dudaborgaon-1,34
438,chillaud_bankhedi,22
439,dudaborgaon-2,34
440,jamthi-1,34
441,jamthi-2,34
442,dahalwada kala_bankhedi,22
443,jhadegaon-1,34
444,thaini_bankhedi,22
445,jhadegaon-2,34
446,gardha_bankhedi,22
447,jhagadiya,34
448,kadhaiya_bankhedi,22
449,kadai,34
450,kodaroti,34
451,kalkuhi_bankhedi,22
452,kosami,34
453,kosami-1,34
454,kem dhana_bankhedi,22
455,khamriya_bankhedi,22
456,lapajhiri-1,34
457,lamta_bankhedi,22
458,lapajhiri-2,34
459,rahatwada_bankhedi,22
460,mandaibujurga,34
461,mandaikhurd-1,34
462,mandaikhurd-2,34
463,aajad ward,38
464,parsodi,39
465,maramjhiri,34
466,pagara,34
467,mirapur,39
468,dhabla,39
469,temni-1,34
470,temni-2,34
471,bhagatsingh ward,38
472,chauthiya 1,38
473,gurusahab ward,38
474,kamath 1,38
475,ghisibagala 1,40
476,kanehgaw 2,40
477,mahavir ward,38
478,kesiya 2,40
479,kesiya 3,40
480,mandai 2,40
481,rajiv gandhi ward,38
482,mandai 3,40
483,ramnagar,38
484,sehra 1,40
485,hirdi,39
486,ambedkar ward,38
487,tigariya,34
488,uddan,34
489,chauthiya 2,38
490,chikhalikhurd,38
491,indira gandhi ward,38
492,kamath 2,38
493,awariya 1,40
494,awariya 2,40
495,awariya 3,40
496,ghisibagala 2,40
497,ghisibagala 3,40
498,karajgav,38
499,kanehgaw 1,40
500,khadaamla,38
501,kesiya 1,40
502,nehru ward,38
503,mandai 1,40
504,patel ward,38
505,sehra 2,40
506,shastri ward,38
507,sehra 3,40
508,sehra 4,40
509,tara 1,40
510,sonoraa,38
511,tara 2,40
512,tara 3,40
513,subhash ward,38
514,tapti ward,38
515,chandorakala 1,39
516,badegaov,39
517,taikheda 1,39
518,tilak ward,38
519,taikheda 2,39
520,raiamla 1,39
521,BOKARIKHAPA,35
522,raiamla 2,39
523,vivekanad ward,38
524,aashta 1,39
525,beejanwada-3,21
526,aashta 2 ,39
527,beejanwada-4,21
528,sawalmenda,39
529,beejanwada-1,21
530,beejanwada-2,21
531,hathwans 3,21
532,satwasa 1,23
533,hathwansh-4,21
534,hathwansh-5,21
535,hathwansh-6,21
536,badegav,38
537,semrirandhir,21
538,barai 1,38
539,Ratwada,23
540,chandorakhurd 1,38
541,dadiya,21
542,bichawa dhana,38
543,hathwans 1,21
544,kharsali,38
545,kolhiya,38
546,satwasa 2,23
547,hathwansh-7,21
548,barai 2,38
549,dharamkundi ,23
550,silari _3,21
551,chandorakhurd 2,38
552,surelakala,21
553,thengawani,21
554,sonkhedi,23
555,hathwansh-2,21
556,devri,38
557,hathwansh-8,21
558,baghwada1,23
559,gopaltalai,38
560,jamada,21
561,baghwada2,23
562,hardoli,38
563,baghwada3,23
564,jheel pipariya,21
565,jam gav,38
566,fasidhana_mahuakheda,22
567,hirankheda1,23
568,fatehpur_mahuakheda,22
569,karpa 1,38
570,hirankheda2,23
571,ghoghri maththa_mahuakheda,22
